'a'ka'xi 阿卡西
'xu'jia'xin'xi'dao'ru'yu'zhi 虚假信息导入阈值
'xu'mo'zhang 虛無章
'xu'pu'ti 須菩提
'xu'wu'he'zhen 虚无合真
'xu'xiang 虚相
'xue'dui'ying 穴对应
'xue'hou'san'li'mi 穴后三厘米
'xue'wei 穴位
'xue'xiao'jiao'yu'de'ying'xiang 学校教育的影响
'xun'huan'ji'fa'cheng'du 循环继发程度
'xun'huan'jie'gou 循环结构
'xun'huan'yuan'fa'cheng'du 循环原发程度
'ya'te'lan'di'si 亚特兰蒂斯
'yan'hou 咽喉
'yan'hua'mu'biao 演化目标
'yan'meng 验梦
'yan'zhan'cha'yi'xing 延展差异性
'yan'zhan'fan'wei'xing 延展范围性
'yan'zhan'ling'huo'xing 延展灵活性
'yan'zhan'shen'du'xing 延展深度性
'yan'zhan'wen'ding'xing 延展稳定性
'yan'zhan'xi'hua'xing 延展细化性
'yan'zhan'xing'fang'mian 延展性方面
'yang'guan 阳关
'yang'shen 阳神
'yang'sheng 扬升
'yang'xing'ju'zhen 阳性矩阵
'yang'xing'ju'zhen'feng'wo'jie'gou 阳性矩阵蜂窝结构
'yang'xing'ju'zhen'feng'wo'jie'gou'de'ji'xing'tai 阳性矩阵蜂窝结构的级形态
'yang'xing'ju'zhen'feng'wo'jie'gou'qun 阳性矩阵蜂窝结构群
'ye'li 业力
'ye'li'fa'ting 业力法庭
'yi'fa'chu'sheng'fen 依法出生分
'yi'feng'xi'li 依风息力
'yi'guan'xiang'li 依观想力
'yi'he'duo'wo 一核多我
'yi'he'li'xiang'fen 一合理相分
'yi'lin'dao'fu 疑邻盗斧
'yi'ling 一灵
'yi'meng 疑梦
'yi'shen 移神
'yi'shi'bo'dong 意识波动
'yi'shi'bo'liu 意识波流
'yi'shi'ce'shi'fa 意识测试法
'yi'shi'chou'li 意识抽离
'yi'shi'chou'li'fa 意识抽离法
'yi'shi'dian 意识点
'yi'shi'fa'jiao 意识发酵
'yi'shi'fen'san'cheng'du 意识分散程度
'yi'shi'jian'yu 意识监狱
'yi'shi'jiao'dian 意识焦点
'yi'shi'ju'jiao'fa 意识聚焦法
'yi'shi'kai'fang'xing 意识开放性
'yi'shi'kai'fang'xing'qiang 意识开放性强
'yi'shi'liu'dong'xing 意识流动性
'yi'shi'lou'dong 意识漏洞
'yi'shi'nian'lian 意识黏连
'yi'shi'pin'pu 意识频谱
'yi'shi'qiang'du 意识强度
'yi'shi'qiang'du'ji 意识强度级
'yi'shi'qiang'du'jian'ce'dian 意识强度检测点
'yi'shi'qiang'du'ti'sheng'dian 意识强度提升点
'yi'shi'qiang'du'yan'jiu'guan'li'wei'yuan'hui 意识强度研究管理委员会
'yi'shi'qie'huan 意识切换
'yi'shi'ti 意识体
'yi'shi'tuan 意识团
'yi'shi'zhai'hua 意识窄化
'yi'shi'zhuan'zhu'cheng'du 意识专注程度
'yi'shi'zong'shen'tong'dao 意识纵深通道
'yi'tai'ti 以太体
'yi'ti'tong'guan'fen 一體同觀分
'yi'ti'xing 一体性
'yi'tu'po'xian'tian'de'cheng'du 已突破先天的程度
'yi'wai'shi'jian'fan'ying'mo'shi 意外事件反应模式
'yi'wei'zhang 意微章
'yi'xiang'mo'xiang'fen 一相無相分
'yi'xin'yuan'li 依心愿力
'yi'yuan'li 意愿力
'yi'yuan'li'qiang 意愿力强
'yin'dao'ci 引导词
'yin'dao'wai'qiu 引导外求
'yin'gou'fan'chuan 阴沟翻船
'yin'guo 因果
'yin'guo'ye'li 因果业力
'yin'he'xi 银河系
'yin'wei'fang'shi'zhuan'huan'dai'lai'de'shi'zhen'cheng'du 因为方式转换带来的失真程度
'yin'xing'cui'mian 隐性催眠
'yin'xing'ju'zhen 阴性矩阵
'yin'xing'you'xi 阴性游戏
'ying'hua'fei'zhen'fen 應化非真分
'ying'xiang'de'bian'yi'du 影响的变异度
'ying'xiang'de'guang'du 影响的广度
'ying'xiang'de'qiang'du 影响的强度
'ying'xiang'de'shen'du 影响的深度
'ying'xiang'ta'ren'de'neng'li 影响他人的能力
'yong'huo 恿惑
'yong'quan 涌泉
'yong'zhe'zhi'lu 勇者之路
'you'dao'shou'duan'de'tong'he'xing 诱导手段的统合性
'you'dao'xing'de'ying'xiang'cheng'du 诱导性的影响程度
'you'fang'qu 右方区
'you'fang'qu'si'wei'kuo'zhan'qu 右方区思维扩展区
'you'guo'zhang 有國章
'you'li'zi'ju'ji'zuo'yong'suo'chan'sheng'de'ying'xiang 由粒子聚集作用所产生的影响
'you'mo'shi'he'gou'cheng 由模式和构成
'you'nao'kai'fa'cheng'du 右脑开发程度
'you'nao'xing 右脑型
'you'shang'qu'ling'xing'jie'gou'qu 右上区灵性结构区
'you'shi'jian'suo'dai'lai'de'hua'mian'shi'zhen'cheng'du 由时间所带来的画面失真程度
'you'xi'da'ting 游戏大厅
'you'xi'dao'ju 游戏道具
'you'xi'jing'shen 游戏精神
'you'xi'jing'shen'qiang 游戏精神强
'you'xi'jue'se 游戏角色
'you'xi'xin'tai 游戏心态
'you'xia'qu'mo'kuai'jiao'huan'qu 右下区模块交换区
'you'xing'sheng'wu 有形生物
'yu'di'qiu'de'neng'liang'hui'liu'bu'fen 与地球的能量回流部分
'yu'du 淤堵
'yu'gan'jue'shen'jing'xi'tong'de'guan'xi 与感觉神经系统的关系
'yu'jia'jing 瑜伽经
'yu'qi'ta'shen'jing'xi'tong'de'guan'xi 与其它神经系统的关系
'yu'wang'la'man 欲望拉满
'yu'yun'dong'shen'jing'xi'tong'de'guan'xi 与运动神经系统的关系
'yu'zhen 玉枕
'yu'zhi 阈值
'yu'zhi'fan'wei 阈值范围
'yu'zhi'meng 预知梦
'yu'zhou'ji'yi 宇宙记忆
'yu'zhou'xin'jie'gou 宇宙新结构
'yu'zhou'zhen'xiang 宇宙真相
'yu'zhou'zhi'hui 宇宙智慧
'yuan'fa'bao'liu'cheng'du 原发保留程度
'yuan'fa'cheng'du 原发程度
'yuan'ge 元哥
'yuan'lao'shi 元老师
'yuan'qi 元炁
'yuan'sheng'jia'ting 原生家庭
'yuan'sheng'mo'kuai 原生模块
'yuan'shi'cheng'xu 原始程序
'yuan'tou 源头
'yuan'wu'shi 元吾氏
'yuan'wu'shi'da'yi 元吾氏答疑
'yuan'wu'shi'ji'lu 元吾氏集录
'yue'cui'yue'qing'xing 越催越清醒
'yue'ya'xing'gan'ying'mo'kuai'jie'gou'de'jian'li 月牙形感应模块结构的建立
'yun'xing'fang'shi 运行方式
'yun'ying'tuan'dui 运营团队
'yun'ying'zhong'xin 运营中心
'za'zhi'li'zi 杂质粒子
'zai'dao'zhang 在道章
'zai'ju 载具
'zai'ju'li'zi'mo'kuai'gui'ze'yan'jiu'wei'yuan'hui 载具粒子模块规则研究委员会
'zang'mi 藏密
'zang'mi'wu'shang'yu'jia'meng'guan'cheng'jiu'fa 藏密无上瑜伽梦观成就法
'zang'mi'zhong'mai'xiu'fa 藏密中脉修法
'zang'qi'ling 脏器灵
'zao'huan 造幻
'zao'huan'po'huan'zhi'zhan 造幻破幻之战
'zao'huan'yuan'li 造幻原理
'zeng'jia'xin'xi'li'zi'de'gan'rao'gui'ze 增加信息粒子的干扰规则
'zeng'qiang'neng'liang 增强能量
'zhan'chi'long 斩赤龙
'zhang'san'feng'nei'dan'jue 张三丰内丹诀
'zhen'dong'pin'lv 振动频率
'zhen'dong'pin'lv 震动频率
'zhen'shi'biao'da'de'neng'li 真实表达的能力
'zhen'ye'shi'chuan'hang'hu'dong'jie'gou 针叶式串行互动结构
'zheng'ti'ling 整体灵
'zheng'ti'luo'xuan'xing'hu'dong'jie'gou 整体螺旋型互动结构
'zheng'ti'ping'wen'yu'qu'yu'sun'huai 整体平稳与区域损坏
'zheng'xin'xi'you'fen 正信希有分
'zheng'yi'huan 正义幻
'zhi'dao'ling 指导灵
'zhi'hui'luo'di 智慧落地
'zhi'jue'gan'shou'neng'li 直觉感受能力
'zhi'li'shui'ping 智力水平
'zhi'min'yuan 致敏源
'zhi'nian 止念
'zhi'nian'ling 执念灵
'zhi'nian'tuan 执念团
'zhi'ru'wu 植入物
'zhi'ru'xian'xiang 植入现象
'zhi'ru'zhe 植入者
'zhi'shan 执善
'zhi'shen'zhang 治身章
'zhi'wu'shen'jing'bu'fen 植物神经部分
'zhi'xian'bu'sheng'fen 知見不生分
'zhi'yuan'zhe'jue'xing'xin'xi'fen'xiang'qun 志愿者觉醒信息分享群
'zhi'zhuo 执着
'zhi'zhuo'dian 执着点
'zhi'zhuo'huan 执着幻
'zhi'zhuo'wei'ling 执着为零
'zhong'ceng'guan'xing'liu'dong'xing 中层惯性流动性
'zhong'gao'zhang 重告章
'zhong'ji'ban 中级班
'zhong'ji'zhen'xiang 终极真相
'zhong'ji'zhi'hui 终极智慧
'zhong'ling'xian 中灵线
'zhong'mai 中脉
'zhong'tian 中田
'zhong'yang'qu 中央区
'zhong'yang'qu'xin'zhi'kong'zhi'qu 中央区心智控制区
'zhong'yin'shen 中阴身
'zhong'zhou'xian'tuo'yuan'pao'pao'hu'dong'jie'gou 中轴线椭圆泡泡互动结构
'zhu'cui 主催
'zhu'cui'yi'sheng 主催一声
'zhu'dao'xing'tuo'ya'shi'jie'gou 主导型拖压式结构
'zhu'dong'tou'tai 主动投胎
'zhu'dong'xing 主动性
'zhu'dong'xing'qiang 主动性强
'zhu'fen'ling 主分灵
'zhu'guan'meng'jie 主观梦界
'zhu'guan'yu'she'de'ying'xiang 主观预设的影响
'zhu'ji 筑基
'zhu'ling 主灵
'zhu'xian'xing'tuo'pu'jie'gou 珠线型拓扑结构
'zhuan'bian'meng'jing 转变梦境
'zhuan'ti'tan'suo 专题探索
'zhuan'xian'lian'jie 专线连接
'zhuan'zhu'cheng'du 专注程度
'zhuang'yan'jing'tu'fen 莊嚴淨土分
'zhun'wu'zhi 准物质
'zi'ai 自爱
'zi'bei'bei'guan'mo'shi 自卑悲观模式
'zi'cui 自催
'zi'dong'bao'jing 自动报警
'zi'dong'fa'jiao 自动发酵
'zi'dong'guo'lv 自动过滤
'zi'dong'hua'cheng'du 自动化程度
'zi'dong'sheng'ji 自动升级
'zi'dong'shi'xiao 自动失效
'zi'dong'xiu'fu 自动修复
'zi'fu'ao'man'mo'shi 自负傲慢模式
'zi'ran'jiu'hui 自然就会
'zi'ran'xiao'san 自然消散
'zi'ruo 自弱
'zi'ruo'qing'xiang 自弱倾向
'zi'shen 自身
'zi'wo'bi'jiao'cheng'du 自我比较程度
'zi'wo'bu'man'cheng'du 自我不满程度
'zi'wo'fang'hu 自我防护
'zi'wo'jie'na'cheng'du 自我接纳程度
'zi'wo'she'xian 自我设限
'zi'wo'shi'fang'neng'li 自我释放能力
'zi'wo'xiu'zheng'neng'li 自我修正能力
'zi'you'shi'jie 自由世界
'zi'you'yi'shi 自由意识
'zi'you'yi'zhi 自由意志
'zi'zhu'hua'cheng'du 自主化程度
'zi'zhu'po'jie 自主破解
'zi'zhu'yi'shi 自主意识
'zi'zhu'yi'shi'qu 自主意识区
'zi'zhu'yun'xing 自主运行
'zong'he'shu'zhi 综合数值
'zong'he'tuo'zhan'bu'fen 综合拓展部分
'zong'mai 总脉
'zong'po'jie'bi'li 总破解比例
'zong'yi'zhi'can'shu 总抑制参数
'zu'qiao 祖窍
'zu'wan'jia 组玩家
'zu'zui'ruo'qun 组最弱群
'zun'zhong'ta'ren'neng'li 尊重他人能力
'zun'zhong'zheng'jiao'fen 尊重正教分
'zuo'fang'qu'jiu'you'guan'xing'qu 左方区旧有惯性区
'zuo'nao'kai'fa'cheng'du 左脑开发程度
'zuo'shang'qu'shen'jing'lian'luo'qu 左上区神经联络区
'zuo'xia'qu'shen'xing'jiao'huan'qu 左下区神性交换区
'zuo'you'nao'ping'heng'cheng'du 左右脑平衡程度
'zuo'you'nao'ping'heng'du 左右脑平衡度
