'a'ka'na'qiang'wei 阿卡纳蔷薇
'xu'mu'hua'pen'zai 畜牧花盆栽
'xu'wu'kong'jian 虚无空间
'xuan'fu'sha'lou 悬浮沙漏
'xuan'zhuan 旋转
'xue'hua'xiang'lian 雪花项链
'xue'yuan'hao'jiao 雪原号角
'xue'yuan'hua'yao'tai 雪原花药台
'xun'wu'zhe 寻物者
'xun'xiang 熏香
'xun'xiang'shi'ying 熏香石英
'xun'xiang'shi'ying'kuai 熏香石英块
'xun'xiang'shi'ying'lou'ti 熏香石英楼梯
'xun'xiang'shi'ying'tai'jie 熏香石英台阶
'yan'fu 炎肤
'yan'hong'si'mei'gui 殷红似玫瑰
'yan'kuang'lan 炎矿兰
'yan'kuang'lan'pen'zai 炎矿兰盆栽
'yan'mie 湮灭
'yan'xun'shi'ying 烟熏石英
'yan'xun'shi'ying'kuai 烟熏石英块
'yan'xun'shi'ying'lou'ti 烟熏石英楼梯
'yan'xun'shi'ying'tai'jie 烟熏石英台阶
'yan'zhao 眼罩
'yao'ji'tai'zhu'shui'qi 药剂台注水器
'ye'dian'qie'zhuang'shi 夜颠茄装饰
'ye'dian'qie'zhuang'shi'pen'zai 夜颠茄装饰盆栽
'ye'lian'huo 冶炼火
'ye'lian'huo'pen'zai 冶炼火盆栽
'yi'bian'cao'di 异变草地
'yi'bian'cao'zhong 异变草种
'yi'dui'qing'lv'yin'ci'er'si 一对情侣因此而死
'yi'gou'hua 异构花
'yi'gou'hua'pen'zai 异构花盆栽
'yi'ke'gan 移壳杆
'yi'wan'shui 一碗水
'yi'xun'zhao'da'an 以寻找答案
'yin'li 引力
'yin'ran 引燃
'yin'shen 隐身
'yin'shen'dou'peng 隐身斗篷
'yong'heng'mo'li'chi 永恒魔力池
'you'dao'le'si'yue'er'shi'wu'ri 又到了四月二十五日
'you'hen'sheng'cai 由恨生财
'you'huo 诱惑
'you'xia'jiao'de'na'shi'ge'lan'dian'shi'shen'me'dong'xi 右下角的那十个蓝点是什么东西
'you'yin'lian 诱引莲
'you'yin'lian'pen'zai 诱引莲盆栽
'yu'sai 鱼鳃
'yu'wang'fu'wen 欲望符文
'yu'yi 羽翼
'yu'yong'zhi'huan 鱼泳指环
'yuan'gu'mian'ju 远古面具
'yuan'gu'zhi'yan 远古之眼
'yuan'shi'zhi'zao'ji 圆石制造机
'yuan'zhi'gang'chan 源质钢铲
'yuan'zhi'gang'chu 源质钢锄
'yuan'zhi'gang'ding 源质钢锭
'yuan'zhi'gang'fu 源质钢斧
'yuan'zhi'gang'gao 源质钢镐
'yuan'zhi'gang'hu'tui 源质钢护腿
'yuan'zhi'gang'jian 源质钢剑
'yuan'zhi'gang'jian 源质钢剪
'yuan'zhi'gang'kuai 源质钢块
'yuan'zhi'gang'kui'jia 源质钢盔甲
'yuan'zhi'gang'li 源质钢粒
'yuan'zhi'gang'tou'kui 源质钢头盔
'yuan'zhi'gang'xiong'jia 源质钢胸甲
'yuan'zhi'gang'xue'zi 源质钢靴子
'yun'mo'si'xian 蕴魔丝线
'yun'mo'tu 蕴魔土
'za'xiang 杂项
'zai'sheng 再生
'zan'zhi'bian'zhi'gao'shan'shi'zhuan 錾制变质高山石砖
'zan'zhi'bian'zhi'gao'yuan'shi'zhuan 錾制变质高原石砖
'zan'zhi'bian'zhi'jun'si'shi'zhuan 錾制变质菌丝石砖
'zan'zhi'bian'zhi'ping'yuan'shi'zhuan 錾制变质平原石砖
'zan'zhi'bian'zhi'sen'lin'shi'zhuan 錾制变质森林石砖
'zan'zhi'bian'zhi'sha'mo'shi'zhuan 錾制变质沙漠石砖
'zan'zhi'bian'zhi'xue'yuan'shi'zhuan 錾制变质雪原石砖
'zan'zhi'bian'zhi'zhao'ze'shi'zhuan 錾制变质沼泽石砖
'zan'zhi'hong'se'shi'ying'kuai 錾制红色石英块
'zan'zhi'jin'huang'shi'ying'kuai 錾制金黄石英块
'zan'zhi'jing'ling'shi'ying'kuai 錾制精灵石英块
'zan'zhi'lie'yan'shi'ying'kuai 錾制烈焰石英块
'zan'zhi'mo'li'shi'ying'kuai 錾制魔力石英块
'zan'zhi'xun'xiang'shi'ying'kuai 錾制熏香石英块
'zan'zhi'yan'xun'shi'ying'kuai 錾制烟熏石英块
'zao'nuo 遭難
'zeng'sheng'zhi'zhong 增生之种
'zhan'kuang'fa'zhang 占矿法杖
'zhang'zhong'meng'hu 掌中萌虎
'zhao'lei'zhe 召雷者
'zhao'xing'zhe 召星者
'zhao'ze'hua'yao'tai 沼泽花药台
'zhe'gan'jue 这感觉
'zhe'shi'shen'me 这是什么
'zhe'suan'shi'zai'chi'zi'ji'ma 这算是在吃自己吗
'zhi'liao 治疗
'zhi'wu'mo'fa'ci'dian 植物魔法辞典
'zhi'wu'mo'fa'tiao'zhan 植物魔法挑战
'zhi'wu'niang'zao 植物酿造
'zhi'wu'niang'zao'tai 植物酿造台
'zhi'wu'xue'jia'hui'zhang 植物学家徽章
'zhi'wu'zun'cong'fa'zhang 植物遵从法杖
'zhi'you'xie'you'hao'de'jia'qiao'dong'wu 只有些友好的甲壳动物
'zhi'zuo'wan'cheng 制作完成
'zhong'er'yan'zhao 中二眼罩
'zhong'li 重力
'zhong'mo 終末
'zhu'cang'ku'wu'qi 贮藏库武器
'zhu'mei'ti'huo'hua 主媒体火花
'zhu'mo'cao'di 注魔草地
'zhu'mo'cao'zhong 注魔草种
'zhuang'bei'shou'shi 装备首饰
'zhuang'dan'fa'she 装弹发射
'zhuang'ru'mo'li'tou'jing 装入魔力透镜
'zhuang'shang'jiao'shou'jia 装上脚手架
'zi'dong'bai'chu'ju 自动白雏菊
'zi'dong'cai'kuang 自动采矿
'zi'dong'niang'zao 自动酿造
'zi'dong'ning'kuang 自动凝矿
'zi'ran'shui'jing 自然水晶
'zi'ran'zhuang'zhi 自然装置
'zi'se'chan 紫色铲
'zi'se'chu 紫色锄
'zi'se'de'zhi'wu'mo'fa 紫色的植物魔法
'zi'se'fu 紫色斧
'zi'se'fu'kong'hua 紫色浮空花
'zi'se'gao 紫色镐
'zi'se'gao'shen'mi'hua 紫色高神秘花
'zi'se'hua'ban'kuai 紫色花瓣块
'zi'se'huo'hua'sheng'ji 紫色火花升级
'zi'se'jian 紫色剑
'zi'se'shen'mi'hua 紫色神秘花
'zi'se'shen'mi'hua'ban 紫色神秘花瓣
'zi'se'shen'mi'hua'pen'zai 紫色神秘花盆栽
'zi'se'shu 紫色树
'zi'se'wei'guang'mo'gu 紫色微光蘑菇
'zi'se'wei'guang'mo'gu'pen'zai 紫色微光蘑菇盆栽
'zi'se'xiao'tu'dou'mian'ju 紫色小土豆面具
'zi'se'ying'guang'hua 紫色荧光花
'zi'se'ying'guang'hua'pen'zai 紫色荧光花盆栽
'zi'se'yu 紫色鱼
'zi'se'zhi'wu'mo'fa'ci'dian 紫色植物魔法辞典
'zi'shi'zhi'zhong'qian'fu'yu'ci 自始至终潜伏于此
'zi'you 自由
'zi'you'zhi'yi 自由之翼
'zi'you'zhi'yi'pen'zai 自由之翼盆栽
'zong'se'chan 棕色铲
'zong'se'chu 棕色锄
'zong'se'de'zhi'wu'mo'fa 棕色的植物魔法
'zong'se'fu 棕色斧
'zong'se'fu'kong'hua 棕色浮空花
'zong'se'gao 棕色镐
'zong'se'hua'ban'kuai 棕色花瓣块
'zong'se'huo'hua'sheng'ji 棕色火花升级
'zong'se'jian 棕色剑
'zong'se'shen'mi'hua 棕色神秘花
'zong'se'shen'mi'hua'ban 棕色神秘花瓣
'zong'se'shen'mi'hua'pen'zai 棕色神秘花盆栽
'zong'se'shu 棕色树
'zong'se'wei'guang'mo'gu 棕色微光蘑菇
'zong'se'wei'guang'mo'gu'pen'zai 棕色微光蘑菇盆栽
'zong'se'xiao'tu'dou'mian'ju 棕色小土豆面具
'zong'se'ying'guang'hua 棕色荧光花
'zong'se'ying'guang'hua'pen'zai 棕色荧光花盆栽
'zong'se'yu 棕色鱼
'zong'se'zhi'wu'mo'fa'ci'dian 棕色植物魔法辞典
'zou'huo 走火
'zu'li 阻力
'zui'e'dou'peng 罪恶斗篷
